date,zone_id,zone_name,zone_size,mnf_ls,pressure_m,acoustic_alert
2025-01-01,DMA_01,Northfield,Small,2.575,60.57,0
2025-01-02,DMA_01,Northfield,Small,2.483,59.14,0
2025-01-03,DMA_01,Northfield,Small,2.604,58.55,0
2025-01-04,DMA_01,Northfield,Small,2.739,59.73,0
2025-01-05,DMA_01,Northfield,Small,2.478,58.62,0
2025-01-06,DMA_01,Northfield,Small,2.482,58.48,0
2025-01-07,DMA_01,Northfield,Small,2.757,60.45,0
2025-01-08,DMA_01,Northfield,Small,2.639,58.58,0
2025-01-09,DMA_01,Northfield,Small,2.457,55.74,0
2025-01-10,DMA_01,Northfield,Small,2.612,59.34,0
2025-01-11,DMA_01,Northfield,Small,2.464,58.45,0
2025-01-12,DMA_01,Northfield,Small,2.467,58.58,0
2025-01-13,DMA_01,Northfield,Small,2.577,59.47,0
2025-01-14,DMA_01,Northfield,Small,2.257,58.73,0
2025-01-15,DMA_01,Northfield,Small,2.288,59.18,0
2025-01-16,DMA_01,Northfield,Small,6.216728694493787,44.655413347057156,1
2025-01-17,DMA_01,Northfield,Small,2.402,57.79,0
2025-01-18,DMA_01,Northfield,Small,2.604,60.61,0
2025-01-19,DMA_01,Northfield,Small,2.424,58.9,0
2025-01-20,DMA_01,Northfield,Small,2.352,56.92,0
2025-01-21,DMA_01,Northfield,Small,2.787,57.64,0
2025-01-22,DMA_01,Northfield,Small,2.537,57.73,0
2025-01-23,DMA_01,Northfield,Small,2.584,59.05,0
2025-01-24,DMA_01,Northfield,Small,2.364,58.41,0
2025-01-25,DMA_01,Northfield,Small,2.499,58.13,0
2025-01-26,DMA_01,Northfield,Small,2.601,58.93,0
2025-01-27,DMA_01,Northfield,Small,2.415,59.5,0
2025-01-28,DMA_01,Northfield,Small,2.647,58.61,0
2025-01-29,DMA_01,Northfield,Small,2.504,58.24,0
2025-01-30,DMA_01,Northfield,Small,2.554,58.42,0
2025-01-31,DMA_01,Northfield,Small,2.511,59.33,0
2025-02-01,DMA_01,Northfield,Small,2.882,58.92,0
2025-02-02,DMA_01,Northfield,Small,2.606,59.85,1
2025-02-03,DMA_01,Northfield,Small,2.453,57.55,0
2025-02-04,DMA_01,Northfield,Small,2.738,58.0,0
2025-02-05,DMA_01,Northfield,Small,2.435,59.85,0
2025-02-06,DMA_01,Northfield,Small,2.653,57.96,0
2025-02-07,DMA_01,Northfield,Small,2.331,60.59,0
2025-02-08,DMA_01,Northfield,Small,2.429,60.61,0
2025-02-09,DMA_01,Northfield,Small,2.661,60.6,0
2025-02-10,DMA_01,Northfield,Small,2.746,57.87,0
2025-02-11,DMA_01,Northfield,Small,2.664,59.02,0
2025-02-12,DMA_01,Northfield,Small,2.624,58.33,0
2025-02-13,DMA_01,Northfield,Small,2.6,60.03,0
2025-02-14,DMA_01,Northfield,Small,2.427,60.97,0
2025-02-15,DMA_01,Northfield,Small,2.544,59.97,0
2025-02-16,DMA_01,Northfield,Small,2.586,58.94,0
2025-02-17,DMA_01,Northfield,Small,2.817,58.49,0
2025-02-18,DMA_01,Northfield,Small,2.713,59.7,0
2025-02-19,DMA_01,Northfield,Small,2.401,57.46,0
2025-02-20,DMA_01,Northfield,Small,2.717,59.57,0
2025-02-21,DMA_01,Northfield,Small,2.614,57.83,0
2025-02-22,DMA_01,Northfield,Small,2.574,59.67,0
2025-02-23,DMA_01,Northfield,Small,2.77,58.73,0
2025-02-24,DMA_01,Northfield,Small,2.837,58.46,0
2025-02-25,DMA_01,Northfield,Small,2.825,57.86,0
2025-02-26,DMA_01,Northfield,Small,2.563,58.5,0
